,Comment,Type,User_Id,Intent,PIC
0,"Hay
",comments,https://www.facebook.com100008354801713,,
1,"Ai hùn mua k
",comments,https://www.facebook.com100004051804415,,
2,"Làm căn đi Đậu Đậuu
",comments,https://www.facebook.com100025086530251,Tag bạn bè,Huỳnh Ngọc Thiện
3,"Hoàng Yến chỗ em nói nè
",comments,https://www.facebook.com100000296181282,Tag bạn bè,Huỳnh Ngọc Thiện
4,"Ở đường nào vay
",comments,https://www.facebook.com100006803379968,,
5,"Trần Trang làm căn đi e
",comments,https://www.facebook.com100025218019876,Tag bạn bè,Huỳnh Ngọc Thiện
6,"Gia a oi
",comments,https://www.facebook.com100004991496141,Hỏi giá,KHANG
7,"Oanh le
",comments,https://www.facebook.com100007121790187,,
8,"Nhà này diện tích bao nhiêu vậy bạn
",comments,https://www.facebook.com100010186260543,Hình thức kinh doanh,Hiếu
9,"Toi ở phường 3tay ninh,không biết chô nao
",comments,https://www.facebook.com100009376604189,,
10,"Hay
",comments,https://www.facebook.com100008354801713,,
11,"Gia a oi
",comments,https://www.facebook.com100004991496141,Hỏi giá,KHANG
12,"Oanh le
",comments,https://www.facebook.com100007121790187,,
13,"Ai hùn mua k
",comments,https://www.facebook.com100004051804415,,
14,"Làm căn đi Đậu Đậuu
",comments,https://www.facebook.com100025086530251,Tag bạn bè,Huỳnh Ngọc Thiện
15,"Hay
",comments,https://www.facebook.com100008354801713,,
16,"Gia a oi
",comments,https://www.facebook.com100004991496141,Hỏi giá,KHANG
17,"Oanh le
",comments,https://www.facebook.com100007121790187,,
18,"Ai hùn mua k
",comments,https://www.facebook.com100004051804415,,
19,"Làm căn đi Đậu Đậuu
",comments,https://www.facebook.com100025086530251,Tag bạn bè,Huỳnh Ngọc Thiện
20,"Hay
",comments,https://www.facebook.com100008354801713,,
21,"Gia a oi
",comments,https://www.facebook.com100004991496141,Hỏi giá,KHANG
22,"Oanh le
",comments,https://www.facebook.com100007121790187,,
23,"Ai hùn mua k
",comments,https://www.facebook.com100004051804415,,
24,"Làm căn đi Đậu Đậuu
",comments,https://www.facebook.com100025086530251,Tag bạn bè,Huỳnh Ngọc Thiện
25,"Hay
",comments,https://www.facebook.com100008354801713,,
26,"Gia a oi
",comments,https://www.facebook.com100004991496141,Hỏi giá,KHANG
27,"Oanh le
",comments,https://www.facebook.com100007121790187,,
28,"Ai hùn mua k
",comments,https://www.facebook.com100004051804415,,
29,"Làm căn đi Đậu Đậuu
",comments,https://www.facebook.com100025086530251,Tag bạn bè,Huỳnh Ngọc Thiện
30,"Hay
",comments,https://www.facebook.com100008354801713,,
31,"Gia a oi
",comments,https://www.facebook.com100004991496141,Hỏi giá,KHANG
32,"Oanh le
",comments,https://www.facebook.com100007121790187,,
